,Estado,Celular,Televisão por assinatura,Acesso a internet no próprio domicílio,Acesso a internet por 3g ou 4g,Acesso por banda larga,Renda
94984,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95003,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95006,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95020,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95021,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95022,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95024,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95030,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95064,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95099,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95100,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95105,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95110,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95126,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95129,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95130,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95131,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95134,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95138,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95139,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95151,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95166,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95168,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95170,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95189,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95191,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95196,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95197,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95198,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95199,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95201,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95202,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95206,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95208,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95213,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95224,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95235,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95245,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95255,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95257,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95264,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95266,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95270,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95274,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95277,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95278,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95283,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95286,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95287,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95291,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95297,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95300,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95301,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95306,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95310,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95311,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95328,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
